Well,Target,Sample,Cq
K20,ZFP36L2,Ang6hrRep1_PlusRT,24.09014561
K21,ZFP36L2,Ang8hrRep1_MinusRT,NaN
K22,ZFP36L2,Ang8hrRep1_PlusRT,23.92538436
K23,ZFP36L2,Ang24hrRep1_MinusRT,NaN
K24,ZFP36L2,Ang24hrRep1_PlusRT,25.28340476
L01,ZFP36L2,Ang0hrRep1_MinusRT,35.89680158
L02,ZFP36L2,Ang0hrRep1_PlusRT,26.22553654
L03,ZFP36L2,Ang0.25hrRep1_MinusRT,36.05301992
L04,ZFP36L2,Ang0.25hrRep1_PlusRT,25.85268632
L05,ZFP36L2,Ang0.5hrRep1_MinusRT,37.21182874
L06,ZFP36L2,Ang0.5hrRep1_PlusRT,26.02437886
L07,ZFP36L2,Ang0.75hrRep1_MinusRT,36.2474627
L08,ZFP36L2,Ang0.75hrRep1_PlusRT,25.78518231
L09,ZFP36L2,Ang1hrRep1_MinusRT,37.2594464
L10,ZFP36L2,Ang1hrRep1_PlusRT,25.52086927
L11,ZFP36L2,Ang1.5hrRep1_MinusRT,39.4895166
L12,ZFP36L2,Ang1.5hrRep1_PlusRT,24.54077352
L13,ZFP36L2,Ang2hrRep1_MinusRT,NaN
L14,ZFP36L2,Ang2hrRep1_PlusRT,24.93015988
L15,ZFP36L2,Ang3hrRep1_MinusRT,NaN
L16,ZFP36L2,Ang3hrRep1_PlusRT,24.20386912
L17,ZFP36L2,Ang4hrRep1_MinusRT,NaN
L18,ZFP36L2,Ang4hrRep1_PlusRT,23.97459994
L19,ZFP36L2,Ang6hrRep1_MinusRT,38.32347455
L20,ZFP36L2,Ang6hrRep1_PlusRT,24.05010098
L21,ZFP36L2,Ang8hrRep1_MinusRT,39.48211679
L22,ZFP36L2,Ang8hrRep1_PlusRT,23.95796593
L23,ZFP36L2,Ang24hrRep1_MinusRT,38.78567122
L24,ZFP36L2,Ang24hrRep1_PlusRT,25.43577418
M01,ELAVL1,Ang0hrRep1_MinusRT,37.56046683
M02,ELAVL1,Ang0hrRep1_PlusRT,24.44327233
M03,ELAVL1,Ang0.25hrRep1_MinusRT,NaN
M04,ELAVL1,Ang0.25hrRep1_PlusRT,24.50308543
M05,ELAVL1,Ang0.5hrRep1_MinusRT,NaN
M06,ELAVL1,Ang0.5hrRep1_PlusRT,24.57457881
M07,ELAVL1,Ang0.75hrRep1_MinusRT,NaN
M08,ELAVL1,Ang0.75hrRep1_PlusRT,24.58261594
M09,ELAVL1,Ang1hrRep1_MinusRT,NaN
M10,ELAVL1,Ang1hrRep1_PlusRT,24.54839879
M11,ELAVL1,Ang1.5hrRep1_MinusRT,NaN
M12,ELAVL1,Ang1.5hrRep1_PlusRT,24.38132555
M13,ELAVL1,Ang2hrRep1_MinusRT,NaN
M14,ELAVL1,Ang2hrRep1_PlusRT,24.9771888
M15,ELAVL1,Ang3hrRep1_MinusRT,NaN
M16,ELAVL1,Ang3hrRep1_PlusRT,24.70555485
M17,ELAVL1,Ang4hrRep1_MinusRT,37.65268249
M18,ELAVL1,Ang4hrRep1_PlusRT,24.2402684
M19,ELAVL1,Ang6hrRep1_MinusRT,NaN
M20,ELAVL1,Ang6hrRep1_PlusRT,24.32341754
M21,ELAVL1,Ang8hrRep1_MinusRT,NaN
M22,ELAVL1,Ang8hrRep1_PlusRT,24.3534836
M23,ELAVL1,Ang24hrRep1_MinusRT,NaN
M24,ELAVL1,Ang24hrRep1_PlusRT,24.26072448
N01,ELAVL1,Ang0hrRep1_MinusRT,39.64770516
N02,ELAVL1,Ang0hrRep1_PlusRT,24.58098542
N03,ELAVL1,Ang0.25hrRep1_MinusRT,38.32329926
N04,ELAVL1,Ang0.25hrRep1_PlusRT,24.48783444
N05,ELAVL1,Ang0.5hrRep1_MinusRT,NaN
N06,ELAVL1,Ang0.5hrRep1_PlusRT,24.60748376
N07,ELAVL1,Ang0.75hrRep1_MinusRT,NaN
N08,ELAVL1,Ang0.75hrRep1_PlusRT,24.47212984
N09,ELAVL1,Ang1hrRep1_MinusRT,NaN
N10,ELAVL1,Ang1hrRep1_PlusRT,24.65435891
N11,ELAVL1,Ang1.5hrRep1_MinusRT,NaN
N12,ELAVL1,Ang1.5hrRep1_PlusRT,24.38803358
N13,ELAVL1,Ang2hrRep1_MinusRT,39.33130731
N14,ELAVL1,Ang2hrRep1_PlusRT,25.17048425
N15,ELAVL1,Ang3hrRep1_MinusRT,NaN
N16,ELAVL1,Ang3hrRep1_PlusRT,24.70412961
N17,ELAVL1,Ang4hrRep1_MinusRT,NaN
N18,ELAVL1,Ang4hrRep1_PlusRT,24.20150583
N19,ELAVL1,Ang6hrRep1_MinusRT,NaN
N20,ELAVL1,Ang6hrRep1_PlusRT,24.22649234
N21,ELAVL1,Ang8hrRep1_MinusRT,NaN
N22,ELAVL1,Ang8hrRep1_PlusRT,24.42147839
N23,ELAVL1,Ang24hrRep1_MinusRT,NaN
N24,ELAVL1,Ang24hrRep1_PlusRT,24.21191986
O01,ELAVL1,Ang0hrRep1_MinusRT,NaN
